類目代碼,類目名稱,說明,是否隱藏
6000000000,地區,,否
6001000000,台灣地區,無,否
6001001000,台北市,無,否
6001001001,台北市中正區,無,否
6001001002,台北市大同區,,否
6001001003,台北市中山區,,否
6001001004,台北市松山區,,否
6001001005,台北市大安區,,否
6001001006,台北市萬華區,,否
